Image_ID,Degradation,AFLB,alpha,beta,mask_area_pct
R022,Rain,AFLB1,0.494423121213913,0.5072001218795776,0
R022,Rain,AFLB2,0.4922826290130615,0.4953494369983673,0
R022,Rain,AFLB3,0.4977843463420868,0.4976653754711151,0
R023,Rain,AFLB1,0.4922354817390442,0.5114270448684692,0
R023,Rain,AFLB2,0.488667905330658,0.490918904542923,0
R023,Rain,AFLB3,0.4988896548748016,0.4964665770530701,0
R024,Rain,AFLB1,0.4960621893405914,0.5050711035728455,0
R024,Rain,AFLB2,0.4948038756847382,0.4965734779834747,0
R024,Rain,AFLB3,0.4987869560718536,0.4983760714530945,0
R025,Rain,AFLB1,0.4929067194461823,0.5096592307090759,0
R025,Rain,AFLB2,0.4898635745048523,0.4934908449649811,0
R025,Rain,AFLB3,0.4976260662078857,0.4969552159309387,0
R026,Rain,AFLB1,0.495990514755249,0.5053583979606628,0
R026,Rain,AFLB2,0.4945715963840485,0.4963295161724091,0
R026,Rain,AFLB3,0.4988046884536743,0.4982757568359375,0
R027,Rain,AFLB1,0.4956615567207336,0.5050201416015625,0
R027,Rain,AFLB2,0.4941058456897736,0.498487651348114,0
R027,Rain,AFLB3,0.4966475665569305,0.4983676373958588,0
R028,Rain,AFLB1,0.4952608942985535,0.5064125061035156,0
R028,Rain,AFLB2,0.4937278628349304,0.4952543377876282,0
R028,Rain,AFLB3,0.4990045726299286,0.4979636371135712,0
R029,Rain,AFLB1,0.4969210028648376,0.5042826533317566,0
R029,Rain,AFLB2,0.4965739548206329,0.4970486164093018,0
R029,Rain,AFLB3,0.4995406270027161,0.4986141622066498,0
R030,Rain,AFLB1,0.4962751865386963,0.5047721266746521,0
R030,Rain,AFLB2,0.4953092634677887,0.4975242912769318,0
R030,Rain,AFLB3,0.4983522593975067,0.4985001981258392,0
R031,Rain,AFLB1,0.4955753684043884,0.505405604839325,0
R031,Rain,AFLB2,0.4941036999225616,0.4979540109634399,0
R031,Rain,AFLB3,0.4971326887607574,0.4982981979846954,0
R032,Rain,AFLB1,0.4960196018218994,0.5045725107192993,0
R032,Rain,AFLB2,0.494423508644104,0.4982707798480988,0
R032,Rain,AFLB3,0.4971438348293304,0.4985144436359406,0
R033,Rain,AFLB1,0.4954755306243896,0.5057703852653503,0
R033,Rain,AFLB2,0.4939284324645996,0.4969323575496674,0
R033,Rain,AFLB3,0.4978398680686951,0.4981660544872284,0
R034,Rain,AFLB1,0.4947798252105713,0.5065295100212097,0
R034,Rain,AFLB2,0.4927365481853485,0.4961986839771271,0
R034,Rain,AFLB3,0.4974034130573273,0.4978675842285156,0
R035,Rain,AFLB1,0.493714839220047,0.5084975957870483,0
R035,Rain,AFLB2,0.491481602191925,0.4941642880439758,0
R035,Rain,AFLB3,0.4981481730937958,0.4973202049732208,0
R036,Rain,AFLB1,0.4959074556827545,0.5052564144134521,0
R036,Rain,AFLB2,0.4945734739303589,0.4972065389156342,0
R036,Rain,AFLB3,0.4980701506137848,0.4983542561531067,0
R037,Rain,AFLB1,0.4949705302715302,0.5063005089759827,0
R037,Rain,AFLB2,0.4931621849536896,0.4966484010219574,0
R037,Rain,AFLB3,0.4974773228168488,0.4979857504367828,0
R038,Rain,AFLB1,0.4951539933681488,0.5061309933662415,0
R038,Rain,AFLB2,0.4932225048542023,0.4962850511074066,0
R038,Rain,AFLB3,0.4978563785552979,0.4980277419090271,0
R039,Rain,AFLB1,0.4957329630851746,0.5058056116104126,0
R039,Rain,AFLB2,0.4943588972091675,0.4956304728984833,0
R039,Rain,AFLB3,0.4991995990276337,0.4981420338153839,0
R040,Rain,AFLB1,0.4955257177352905,0.5055379271507263,0
R040,Rain,AFLB2,0.4940481781959534,0.4969827830791473,0
R040,Rain,AFLB3,0.4977956414222717,0.4982267618179321,0
R041,Rain,AFLB1,0.4955302178859711,0.5059487819671631,0
R041,Rain,AFLB2,0.494013249874115,0.4956874549388885,0
R041,Rain,AFLB3,0.4988948106765747,0.4980928003787994,0
R042,Rain,AFLB1,0.4963788986206055,0.5043522119522095,0
R042,Rain,AFLB2,0.4951886236667633,0.4975366294384003,0
R042,Rain,AFLB3,0.4982207715511322,0.4986023008823395,0
R043,Rain,AFLB1,0.4959072768688202,0.504396915435791,0
R043,Rain,AFLB2,0.4941172003746033,0.499847948551178,0
R043,Rain,AFLB3,0.495567262172699,0.4985539019107819,0
R044,Rain,AFLB1,0.4947822690010071,0.5062299370765686,0
R044,Rain,AFLB2,0.4928617775440216,0.4971694648265839,0
R044,Rain,AFLB3,0.4967243373394012,0.4979565441608429,0
R045,Rain,AFLB1,0.495301365852356,0.505337655544281,0
R045,Rain,AFLB2,0.4933178722858429,0.497646152973175,0
R045,Rain,AFLB3,0.4966799318790436,0.4981895983219147,0
R046,Rain,AFLB1,0.4960210621356964,0.5041084289550781,0
R046,Rain,AFLB2,0.4939447343349457,0.4997460246086121,0
R046,Rain,AFLB3,0.4956503212451935,0.4986011385917664,0
R047,Rain,AFLB1,0.4955668747425079,0.5058867335319519,0
R047,Rain,AFLB2,0.4940424859523773,0.4958816766738892,0
R047,Rain,AFLB3,0.4987485706806183,0.4981068670749664,0
R048,Rain,AFLB1,0.4945267140865326,0.5070469379425049,0
R048,Rain,AFLB2,0.4922196567058563,0.4956028759479523,0
R048,Rain,AFLB3,0.4976214468479156,0.4977135062217712,0
R049,Rain,AFLB1,0.4950140416622162,0.5060144066810608,0
R049,Rain,AFLB2,0.4930018484592438,0.497076541185379,0
R049,Rain,AFLB3,0.496923416852951,0.498013973236084,0
R050,Rain,AFLB1,0.495415210723877,0.5055614113807678,0
R050,Rain,AFLB2,0.4936071038246155,0.4971180260181427,0
R050,Rain,AFLB3,0.4974683523178101,0.498198002576828,0
R051,Rain,AFLB1,0.4941914975643158,0.5080162882804871,0
R051,Rain,AFLB2,0.4917583763599396,0.4940918385982513,0
R051,Rain,AFLB3,0.4985674023628235,0.4974572658538818,0
R052,Rain,AFLB1,0.494676411151886,0.5066999197006226,0
R052,Rain,AFLB2,0.49256831407547,0.495733380317688,0
R052,Rain,AFLB3,0.4977364838123322,0.4978039562702179,0
R053,Rain,AFLB1,0.493789941072464,0.5080306529998779,0
R053,Rain,AFLB2,0.4911547601222992,0.4950699508190155,0
R053,Rain,AFLB3,0.49721559882164,0.4973861277103424,0
R054,Rain,AFLB1,0.4955002963542938,0.5058528780937195,0
R054,Rain,AFLB2,0.4942441880702972,0.4960205256938934,0
R054,Rain,AFLB3,0.4986575543880463,0.4981338083744049,0
R055,Rain,AFLB1,0.4934648871421814,0.508906364440918,0
R055,Rain,AFLB2,0.4910187125205994,0.4940278232097626,0
R055,Rain,AFLB3,0.4978941380977631,0.497202455997467,0
R056,Rain,AFLB1,0.4962805211544037,0.504360020160675,0
R056,Rain,AFLB2,0.4949958622455597,0.4983214735984802,0
R056,Rain,AFLB3,0.4975369274616241,0.4986244142055511,0
R057,Rain,AFLB1,0.4941709935665131,0.508123517036438,0
R057,Rain,AFLB2,0.4920611977577209,0.4940069913864136,0
R057,Rain,AFLB3,0.4988065958023071,0.49745973944664,0
R058,Rain,AFLB1,0.494259387254715,0.5082128643989563,0
R058,Rain,AFLB2,0.49204421043396,0.4935322999954224,0
R058,Rain,AFLB3,0.4992392957210541,0.4974344968795776,0
R059,Rain,AFLB1,0.4947507679462433,0.5070375800132751,0
R059,Rain,AFLB2,0.4927026927471161,0.494962215423584,0
R059,Rain,AFLB3,0.4985373020172119,0.4977631866931915,0
R060,Rain,AFLB1,0.4979755878448486,0.5018118023872375,0
R060,Rain,AFLB2,0.4966138303279877,0.5003055930137634,0
R060,Rain,AFLB3,0.4973579347133636,0.4994857907295227,0
R061,Rain,AFLB1,0.4924795925617218,0.5101742148399353,0
