Image_ID,Degradation,Dataset,Filename,Noise_Sigma,PSNR,SSIM,H,W
H033,Haze,SOTS-outdoor,0049_0.85_0.12.jpg,,26.7879926696777,0.9839497446741866,640,544
H034,Haze,SOTS-outdoor,0051_0.8_0.2.jpg,,33.44283498015714,0.9874495319756554,400,544
H035,Haze,SOTS-outdoor,0052_0.9_0.16.jpg,,24.24662673606206,0.9595350821696652,544,544
H036,Haze,SOTS-outdoor,0053_0.9_0.12.jpg,,28.27978343768087,0.972363832790367,400,544
H037,Haze,SOTS-outdoor,0054_0.85_0.16.jpg,,36.73332904059939,0.9907561309815853,400,544
H038,Haze,SOTS-outdoor,0055_0.85_0.12.jpg,,36.36908876510329,0.9918895556754633,400,544
H039,Haze,SOTS-outdoor,0056_0.8_0.16.jpg,,37.83422443188351,0.9892549932309976,624,544
H040,Haze,SOTS-outdoor,0057_0.8_0.12.jpg,,24.86372306906951,0.9804113198472818,400,544
H041,Haze,SOTS-outdoor,0058_0.8_0.2.jpg,,34.82822046081203,0.9877978039452322,592,544
H042,Haze,SOTS-outdoor,0059_0.9_0.12.jpg,,27.8799379194913,0.9861932298318873,400,544
H043,Haze,SOTS-outdoor,0060_0.9_0.2.jpg,,30.44114025605793,0.9596162986909252,832,544
H044,Haze,SOTS-outdoor,0061_0.8_0.2.jpg,,23.34076439538339,0.9726966765555657,304,544
H045,Haze,SOTS-outdoor,0062_0.9_0.2.jpg,,32.90905099443341,0.9812903630421186,400,544
H046,Haze,SOTS-outdoor,0063_0.8_0.16.jpg,,25.46038568407884,0.9769208399111595,400,544
H047,Haze,SOTS-outdoor,0064_0.8_0.2.jpg,,34.32918297186369,0.9835043783164079,400,544
H048,Haze,SOTS-outdoor,0065_0.9_0.12.jpg,,30.00329198954455,0.9881876095551873,400,544
H049,Haze,SOTS-outdoor,0066_1_0.08.jpg,,33.13558324195945,0.9942548049112533,400,544
H050,Haze,SOTS-outdoor,0068_1_0.16.jpg,,29.7354908246303,0.9744546275403222,736,544
H051,Haze,SOTS-outdoor,0069_0.9_0.16.jpg,,26.11071174840299,0.9633592850771757,304,544
H052,Haze,SOTS-outdoor,0070_0.9_0.12.jpg,,31.81534902149451,0.9909882907219453,560,544
H053,Haze,SOTS-outdoor,0071_0.8_0.2.jpg,,27.84101790609894,0.9803850115167062,400,544
H054,Haze,SOTS-outdoor,0072_0.9_0.2.jpg,,28.55163288672497,0.9829381705636849,304,544
H055,Haze,SOTS-outdoor,0073_0.8_0.16.jpg,,41.15569100572999,0.9910557724197181,400,544
H056,Haze,SOTS-outdoor,0074_0.8_0.2.jpg,,31.49889004268858,0.9812347435957,720,544
H057,Haze,SOTS-outdoor,0075_0.8_0.2.jpg,,27.4971873181015,0.9776496190867041,720,544
H058,Haze,SOTS-outdoor,0076_0.8_0.2.jpg,,22.63554313646576,0.9572932924820273,336,544
H059,Haze,SOTS-outdoor,0077_0.8_0.2.jpg,,37.09949363255718,0.9843712194816471,704,544
H060,Haze,SOTS-outdoor,0079_0.8_0.12.jpg,,35.40045630967468,0.9924780220914555,400,544
H061,Haze,SOTS-outdoor,0081_0.8_0.2.jpg,,20.79741430143473,0.9672385287270994,576,544
H062,Haze,SOTS-outdoor,0082_0.85_0.16.jpg,,36.93076474415854,0.9898541355497392,400,544
H063,Haze,SOTS-outdoor,0083_0.85_0.12.jpg,,33.62283332499442,0.9898317444749832,400,544
H064,Haze,SOTS-outdoor,0084_0.95_0.16.jpg,,34.96877101484048,0.9898653183559092,400,544
H065,Haze,SOTS-outdoor,0085_0.95_0.08.jpg,,34.51797367462547,0.9892393435305955,736,544
H066,Haze,SOTS-outdoor,0086_0.8_0.2.jpg,,34.29975417898976,0.9829768016466282,400,544
H067,Haze,SOTS-outdoor,0087_0.9_0.16.jpg,,33.59140320106211,0.9860294025822341,544,544
H068,Haze,SOTS-outdoor,0088_0.9_0.12.jpg,,36.50724602078155,0.9908703083289957,400,544
H069,Haze,SOTS-outdoor,0089_0.9_0.2.jpg,,27.55640478868856,0.9741157193712384,768,544
H070,Haze,SOTS-outdoor,0090_0.85_0.12.jpg,,28.83363967018631,0.988027138219557,560,544
H071,Haze,SOTS-outdoor,0091_0.85_0.2.jpg,,21.44583906481965,0.9565192978832878,576,544
H072,Haze,SOTS-outdoor,0092_0.85_0.2.jpg,,29.42794622149201,0.9872414092989629,592,544
H073,Haze,SOTS-outdoor,0093_0.8_0.08.jpg,,16.86938382407906,0.912806298974077,400,544
H074,Haze,SOTS-outdoor,0094_0.8_0.2.jpg,,27.52237854989568,0.982203553495744,400,544
H075,Haze,SOTS-outdoor,0095_0.8_0.08.jpg,,29.33576102155992,0.9879926366520656,400,544
H076,Haze,SOTS-outdoor,0096_0.8_0.2.jpg,,37.90197461984818,0.9930573109883051,400,544
H077,Haze,SOTS-outdoor,0097_0.85_0.08.jpg,,30.87395495523854,0.9926017072526093,400,544
H078,Haze,SOTS-outdoor,0098_0.85_0.2.jpg,,32.20658818548313,0.9888501416873224,640,544
H079,Haze,SOTS-outdoor,0099_0.9_0.16.jpg,,34.06491634914374,0.989327564115225,720,528
H080,Haze,SOTS-outdoor,0100_0.9_0.12.jpg,,24.15702115491037,0.96680923956901,400,544
H081,Haze,SOTS-outdoor,0101_0.9_0.08.jpg,,39.53534778044612,0.9921902039154983,592,544
H082,Haze,SOTS-outdoor,0102_0.85_0.12.jpg,,32.33717022494319,0.9834313055398715,576,544
H083,Haze,SOTS-outdoor,0104_0.95_0.12.jpg,,31.3371238530165,0.9849793947699985,720,544
H084,Haze,SOTS-outdoor,0105_0.95_0.2.jpg,,22.96101966720696,0.9508184785532312,640,544
H085,Haze,SOTS-outdoor,0106_0.9_0.08.jpg,,19.39882062131976,0.943580720680064,400,544
H086,Haze,SOTS-outdoor,0107_0.9_0.08.jpg,,26.20484341589571,0.9876696170913465,400,544
H087,Haze,SOTS-outdoor,0108_0.8_0.16.jpg,,35.47810184575642,0.9748441158185627,672,544
H088,Haze,SOTS-outdoor,0109_0.85_0.08.jpg,,28.83492420285127,0.9894370963464602,544,544
H089,Haze,SOTS-outdoor,0110_0.8_0.12.jpg,,35.45259933118037,0.9913797414435722,496,544
H090,Haze,SOTS-outdoor,0111_0.8_0.2.jpg,,31.15812152500855,0.9854728035030401,720,544
H091,Haze,SOTS-outdoor,0112_0.8_0.2.jpg,,20.22432683323258,0.9564012165880585,624,544
H092,Haze,SOTS-outdoor,0113_0.9_0.08.jpg,,39.24545393445232,0.9881646192613976,400,544
H093,Haze,SOTS-outdoor,0115_0.8_0.12.jpg,,32.89126790535489,0.9879938296871317,400,544
H094,Haze,SOTS-outdoor,0116_0.9_0.16.jpg,,25.51339606442056,0.9816786464575692,720,544
H095,Haze,SOTS-outdoor,0117_0.9_0.12.jpg,,22.76589093947,0.978056874795397,720,544
H096,Haze,SOTS-outdoor,0118_0.9_0.2.jpg,,27.28882114604053,0.9728559163489822,688,544
H097,Haze,SOTS-outdoor,0119_0.85_0.12.jpg,,26.32775625522966,0.975329987058187,720,544
H098,Haze,SOTS-outdoor,0120_0.85_0.08.jpg,,35.84856620248438,0.9902461480958885,800,544
H099,Haze,SOTS-outdoor,0121_0.85_0.2.jpg,,35.51584299149106,0.9876007260383938,304,544
H100,Haze,SOTS-outdoor,0123_1_0.08.jpg,,40.88590524811962,0.9917679918190525,720,544
N001,Noise,BSD68,101085.jpg,25.0,28.34105399890849,0.8470422368210966,480,320
N002,Noise,BSD68,101087.jpg,25.0,32.42097085868784,0.9198335247190456,480,320
N003,Noise,BSD68,102061.jpg,25.0,32.33499717547517,0.9021190912349759,480,320
N004,Noise,BSD68,103070.jpg,25.0,32.96930182792838,0.9091554629463751,320,480
N005,Noise,BSD68,105025.jpg,25.0,30.00553273489727,0.899179249529987,320,480
N006,Noise,BSD68,106024.jpg,25.0,35.06018033517213,0.9335008978264709,320,480
N007,Noise,BSD68,108005.jpg,25.0,30.9288589094224,0.8876417256967891,320,480
N008,Noise,BSD68,108070.jpg,25.0,28.81772231152065,0.8617235052329174,320,480
N009,Noise,BSD68,108082.jpg,25.0,31.45387942377461,0.9029696181660659,320,480
N010,Noise,BSD68,109053.jpg,25.0,31.90253192135094,0.8861147060012339,320,480
N011,Noise,BSD68,119082.jpg,25.0,31.58287089857989,0.9252333449659288,320,480
N012,Noise,BSD68,12084.jpg,25.0,30.17739459515994,0.8650466609119288,320,480
N013,Noise,BSD68,123074.jpg,25.0,31.89670990687497,0.8973064396234048,320,480
N014,Noise,BSD68,126007.jpg,25.0,33.06917368787935,0.8985846796077501,320,480
N015,Noise,BSD68,130026.jpg,25.0,29.87792213559791,0.8669213184596164,320,480
N016,Noise,BSD68,134035.jpg,25.0,30.84281340328033,0.9148001163912246,320,480
N017,Noise,BSD68,14037.jpg,25.0,34.74824255196904,0.9030771499950974,320,480
N018,Noise,BSD68,143090.jpg,25.0,34.88877599286965,0.9242685987873495,320,480
N019,Noise,BSD68,145086.jpg,25.0,30.65928056787748,0.8761563582544166,320,480
N020,Noise,BSD68,147091.jpg,25.0,31.30461775400701,0.8877246994104456,320,480
N021,Noise,BSD68,148026.jpg,25.0,29.1012540503187,0.9173680248272453,480,320
N022,Noise,BSD68,148089.jpg,25.0,29.62468489655143,0.8865084544652526,320,480
N023,Noise,BSD68,157055.jpg,25.0,31.31996388933761,0.913377652972763,320,480
N024,Noise,BSD68,159008.jpg,25.0,31.19427309374663,0.9111498355101357,320,480
N025,Noise,BSD68,160068.jpg,25.0,32.00567747037827,0.9479500722982287,320,480
N026,Noise,BSD68,16077.jpg,25.0,30.73857165928823,0.8719063584643836,320,480
N027,Noise,BSD68,163085.jpg,25.0,32.16453560262831,0.8849932815486768,320,480
N028,Noise,BSD68,167062.jpg,25.0,35.2198701761877,0.9074106209502908,320,480
N029,Noise,BSD68,167083.jpg,25.0,27.64721019443366,0.9181700693073199,480,320
N030,Noise,BSD68,170057.jpg,25.0,32.05243138518312,0.8733655270872479,320,480
N031,Noise,BSD68,175032.jpg,25.0,27.42808156864844,0.9073313295335356,480,320
N032,Noise,BSD68,175043.jpg,25.0,29.17302803535055,0.9049794064320662,320,480
N033,Noise,BSD68,182053.jpg,25.0,30.63500303612114,0.9372263342103585,320,480
N034,Noise,BSD68,189080.jpg,25.0,35.14428709159736,0.8902119854548025,480,320
N035,Noise,BSD68,19021.jpg,25.0,30.38240490316239,0.8776813513711387,320,480
N036,Noise,BSD68,196073.jpg,25.0,29.42614271646486,0.7230677254408179,320,480
