Image_ID,Degradation,AFLB,fft_energy,low_energy,high_energy,low_pct,high_pct
H051,Haze,AFLB2,11.47782802581787,0,11.47782802581787,0,100
H051,Haze,AFLB3,2.273691415786743,0,2.273691415786743,0,100
H052,Haze,AFLB1,7.542936325073242,0,7.542936325073242,0,100
H052,Haze,AFLB2,12.49489402770996,0,12.49489402770996,0,100
H052,Haze,AFLB3,2.636795282363892,0,2.636795282363892,0,100
H053,Haze,AFLB1,8.632890701293945,0,8.632890701293945,0,100
H053,Haze,AFLB2,11.38084316253662,0,11.38084316253662,0,100
H053,Haze,AFLB3,2.183552742004395,0,2.183552742004395,0,100
H054,Haze,AFLB1,8.686960220336914,0,8.686960220336914,0,100
H054,Haze,AFLB2,11.84444046020508,0,11.84444046020508,0,100
H054,Haze,AFLB3,2.302107334136963,0,2.302107334136963,0,100
H055,Haze,AFLB1,7.820608615875244,0,7.820608615875244,0,100
H055,Haze,AFLB2,10.81811714172363,0,10.81811714172363,0,100
H055,Haze,AFLB3,2.113579034805298,0,2.113579034805298,0,100
H056,Haze,AFLB1,4.418163299560547,0,4.418163299560547,0,100
H056,Haze,AFLB2,8.057321548461914,0,8.057321548461914,0,100
H056,Haze,AFLB3,1.757544994354248,0,1.757544994354248,0,100
H057,Haze,AFLB1,8.701155662536621,0,8.701155662536621,0,100
H057,Haze,AFLB2,12.05743408203125,0,12.05743408203125,0,100
H057,Haze,AFLB3,2.357202768325806,0,2.357202768325806,0,100
H058,Haze,AFLB1,5.9229416847229,0,5.9229416847229,0,100
H058,Haze,AFLB2,8.9260835647583,0,8.9260835647583,0,100
H058,Haze,AFLB3,1.797751188278198,0,1.797751188278198,0,100
H059,Haze,AFLB1,4.262840270996094,0,4.262840270996094,0,100
H059,Haze,AFLB2,8.246447563171387,0,8.246447563171387,0,100
H059,Haze,AFLB3,1.826445579528809,0,1.826445579528809,0,100
H060,Haze,AFLB1,7.633205413818359,0,7.633205413818359,0,100
H060,Haze,AFLB2,10.4932918548584,0,10.4932918548584,0,100
H060,Haze,AFLB3,2.039895534515381,0,2.039895534515381,0,100
H061,Haze,AFLB1,10.46395874023438,0,10.46395874023438,0,100
H061,Haze,AFLB2,15.26069927215576,0,15.26069927215576,0,100
H061,Haze,AFLB3,3.046046495437622,0,3.046046495437622,0,100
H062,Haze,AFLB1,7.721450805664062,0,7.721450805664062,0,100
H062,Haze,AFLB2,11.40416812896729,0,11.40416812896729,0,100
H062,Haze,AFLB3,2.289775848388672,0,2.289775848388672,0,100
H063,Haze,AFLB1,7.612326145172119,0,7.612326145172119,0,100
H063,Haze,AFLB2,10.42240905761719,0,10.42240905761719,0,100
H063,Haze,AFLB3,2.025569915771484,0,2.025569915771484,0,100
H064,Haze,AFLB1,8.079161643981934,0,8.079161643981934,0,100
H064,Haze,AFLB2,9.95694637298584,0,9.95694637298584,0,100
H064,Haze,AFLB3,1.870028495788574,0,1.870028495788574,0,100
H065,Haze,AFLB1,6.816730499267578,0,6.816730499267578,0,100
H065,Haze,AFLB2,9.917654991149902,0,9.917654991149902,0,100
H065,Haze,AFLB3,1.97858715057373,0,1.97858715057373,0,100
H066,Haze,AFLB1,6.647263526916504,0,6.647263526916504,0,100
H066,Haze,AFLB2,9.249655723571777,0,9.249655723571777,0,100
H066,Haze,AFLB3,1.812506437301636,0,1.812506437301636,0,100
H067,Haze,AFLB1,10.11112117767334,0,10.11112117767334,0,100
H067,Haze,AFLB2,13.65175342559814,0,13.65175342559814,0,100
H067,Haze,AFLB3,2.635092973709106,0,2.635092973709106,0,100
