Image_ID,Degradation,AFLB,hl_mean,hl_std,lh_mean,lh_std,agg_energy,cross_agg_energy,aflb_out_mean,aflb_out_std,aflb_out_energy
R017,Rain,AFLB3,0.4999379515647888,4.448637628229335e-05,0.4999895393848419,7.703888695687056e-05,39.80462646484375,7.717345624769223e-07,0.0001984694972634315,0.009497610852122307,332.6754455566406
R018,Rain,AFLB1,0.001125385984778404,0.00573786161839962,0.08212922513484955,0.2663977146148682,37359.58203125,247.2797088623047,-0.0006052744574844837,0.03067819401621819,867.702880859375
R018,Rain,AFLB2,0.04583041369915009,0.03939500823616982,0.02416560053825378,0.1269946396350861,20077.990234375,3145.80029296875,-0.001543782069347799,0.03232847899198532,1930.777221679688
R018,Rain,AFLB3,0.4999155700206757,5.402291208156385e-05,0.4999882876873016,8.733171125641093e-05,39.62920379638672,5.429558314062888e-07,0.00099494110327214,0.009641241282224655,346.3131103515625
R019,Rain,AFLB1,0.00178572116419673,0.005109392572194338,0.08071018010377884,0.2713349163532257,58099.20703125,280.2902526855469,0.0002369551511947066,0.03629528358578682,1214.119262695312
R019,Rain,AFLB2,0.03655251488089561,0.02864539250731468,0.02562473714351654,0.1265661865472794,18310.287109375,2992.392822265625,-0.001769006252288818,0.03374661505222321,2104.86669921875
R019,Rain,AFLB3,0.4999233484268188,4.863092908635736e-05,0.49998739361763,8.794310997473076e-05,39.57514190673828,5.787558166048257e-07,0.001126153743825853,0.00947203952819109,335.4172668457031
R020,Rain,AFLB1,0.006024708971381187,0.01539475191384554,0.08097980916500092,0.270166277885437,35765.4375,175.5821380615234,-0.0009545113425701857,0.03034651093184948,849.5509033203125
R020,Rain,AFLB2,0.03799861669540405,0.02746496722102165,0.02492150105535984,0.1268710494041443,19881.046875,3293.88427734375,-0.001489971531555057,0.03181774541735649,1870.09033203125
R020,Rain,AFLB3,0.4999317526817322,4.748112769448198e-05,0.4999900758266449,7.318548887269571e-05,39.60678100585938,5.446896125249623e-07,0.0007906504324637353,0.008921008557081223,295.6843872070312
R021,Rain,AFLB1,0.009767257608473301,0.0180114284157753,0.08069907873868942,0.2722863852977753,88976.546875,1305.865600585938,0.0002909901959355921,0.02860643155872822,754.2490234375
R021,Rain,AFLB2,0.04557140171527863,0.03391679376363754,0.03061681985855103,0.122493602335453,14694.8857421875,2275.662353515625,-0.001932009588927031,0.02907223999500275,1564.743896484375
R021,Rain,AFLB3,0.4999201595783234,4.616051955963485e-05,0.4999899566173553,6.717348151141778e-05,39.65581130981445,7.515759534726385e-07,0.0006757565424777567,0.009757750667631626,352.6791687011719
R022,Rain,AFLB1,0.005441491026431322,0.01689180731773376,0.08086525648832321,0.2706038653850555,46858.34375,332.344482421875,-0.0002809207944665104,0.03211132809519768,950.3689575195312
R022,Rain,AFLB2,0.02845749445259571,0.02667949162423611,0.02246160246431828,0.1269250214099884,19062.560546875,3149.10595703125,-0.001880593132227659,0.03452035039663315,2202.976318359375
R022,Rain,AFLB3,0.4999247193336487,4.462117794901133e-05,0.4999886751174927,8.521616837242618e-05,39.54397583007812,7.437075169036689e-07,0.00110005191527307,0.010134257376194,383.0658874511719
R023,Rain,AFLB1,0.001985984155908227,0.005631384905427694,0.08320576697587967,0.2638187408447266,31922.625,98.91796875,-0.0006223226664587855,0.02916388586163521,784.2074584960938
R023,Rain,AFLB2,0.05289342999458313,0.04957189410924911,0.02664056979119778,0.1259078085422516,22899.16796875,3841.508544921875,-0.001187073299661279,0.02976274117827415,1635.342163085938
R023,Rain,AFLB3,0.4999164938926697,4.889697811449878e-05,0.499990701675415,6.99442025506869e-05,39.50599670410156,5.026130907026527e-07,0.0008033099002204835,0.00912561360746622,309.3704833984375
R024,Rain,AFLB1,0.004427812993526459,0.01486851088702679,0.08114936202764511,0.2695495784282684,37154.4765625,637.6995849609375,-0.0002641784667503089,0.0383467897772789,1355.255126953125
R024,Rain,AFLB2,0.0390341579914093,0.03239188343286514,0.02178464643657207,0.128106102347374,24567.962890625,4665.3984375,-0.001877479022368789,0.03211994096636772,1908.109619140625
R024,Rain,AFLB3,0.4999108016490936,5.397776476456784e-05,0.4999887645244598,8.796389738563448e-05,39.48526000976562,5.349598950488144e-07,0.001229268265888095,0.009445409290492535,334.4554748535156
R025,Rain,AFLB1,0.002162815071642399,0.006799133028835058,0.08068692684173584,0.2718340754508972,63871.55859375,490.1021728515625,0.0008575320243835449,0.03363507613539696,1043.30078125
R025,Rain,AFLB2,0.02906804159283638,0.02844944596290588,0.0226727519184351,0.1265742033720016,23820.71484375,3649.295654296875,-0.001589986379258335,0.03839880228042603,2722.39892578125
R025,Rain,AFLB3,0.4999196231365204,4.702210571849719e-05,0.4999889135360718,7.913359149824828e-05,39.52744674682617,6.326478683149617e-07,0.001250352477654815,0.0095254210755229,340.2437744140625
R026,Rain,AFLB1,0.005686851218342781,0.008969125337898731,0.08511634916067123,0.2605528235435486,29038.744140625,226.4468078613281,-0.000914824428036809,0.03154399245977402,917.7848510742188
R026,Rain,AFLB2,0.05469847843050957,0.04866676777601242,0.02597156353294849,0.1259812712669373,22240.53125,4808.4111328125,-0.001655786531046033,0.03153812140226364,1838.397705078125
R026,Rain,AFLB3,0.4999214708805084,4.878674371866509e-05,0.4999889135360718,8.305058145197108e-05,39.56796646118164,4.983066901331767e-07,0.001207247725687921,0.00879135075956583,290.2866821289062
R027,Rain,AFLB1,0.0003961839247494936,0.002490345388650894,0.0806913673877716,0.2719872891902924,53369.5546875,905.8270874023438,0.000182390765985474,0.03809187188744545,1337.263549804688
R027,Rain,AFLB2,0.03117464669048786,0.02723321318626404,0.02331909351050854,0.1272343695163727,16126.3720703125,2182.3525390625,-0.002576235681772232,0.03613879531621933,2419.475830078125
R027,Rain,AFLB3,0.4999172389507294,5.036396032664925e-05,0.4999886453151703,7.720677240286022e-05,39.60355758666992,5.463991215037822e-07,0.001079358975403011,0.01048196107149124,409.3251037597656
R028,Rain,AFLB1,0.01483300514519215,0.02558327838778496,0.08200917392969131,0.2669926881790161,27872.509765625,129.7907409667969,-0.0006612648139707744,0.03064919076859951,866.1289672851562
R028,Rain,AFLB2,0.04556085541844368,0.03244059160351753,0.02517805434763432,0.1261589974164963,22360.2890625,4143.2783203125,-0.001394125982187688,0.03062122501432896,1731.876098632812
R028,Rain,AFLB3,0.4999288022518158,5.107100878376514e-05,0.4999877214431763,8.995045209303498e-05,39.80833435058594,6.933316853974247e-07,0.00098020292352885,0.009058432653546333,306.0301818847656
R029,Rain,AFLB1,0.001207469264045358,0.004084392916411161,0.08249489217996597,0.2660841643810272,24530.142578125,272.7232360839844,-0.00167535908985883,0.02825993299484253,738.5985107421875
R029,Rain,AFLB2,0.04679214954376221,0.03447622060775757,0.02895676158368587,0.123959057033062,17570.25,3205.911376953125,-0.001235639210790396,0.02975018881261349,1634.18212890625
R029,Rain,AFLB3,0.4999368190765381,4.188757520751096e-05,0.4999907910823822,6.505093188025057e-05,39.6978759765625,7.648923769920657e-07,0.0002960957062896341,0.008461850695312023,264.2801818847656
R030,Rain,AFLB1,0.001523270853795111,0.007024971768260002,0.08069584518671036,0.2717656493186951,65114.0078125,1134.275268554688,-0.0001874664594652131,0.03518647700548172,1141.054443359375
R030,Rain,AFLB2,0.04758805781602859,0.0344659686088562,0.02302744053304195,0.1268066465854645,18227.619140625,2546.523681640625,-0.002441281219944358,0.0335814580321312,2089.588134765625
R030,Rain,AFLB3,0.4999167919158936,5.264420906314626e-05,0.499989777803421,7.375567656708881e-05,39.6203498840332,5.868701009603683e-07,0.001134888036176562,0.009759172797203064,355.8460693359375
R031,Rain,AFLB1,0.0004603889537975192,0.002045651664957404,0.08069689571857452,0.272228479385376,78012.2109375,1417.23486328125,8.846244600135833e-05,0.0448303297162056,1852.200439453125
