Image_ID,Degradation,AFLB,Feature,mean,std,min,max,l1,l2,energy,numel
R027,Rain,AFLB2,conv_feat,-0.01089274324476719,0.1855324804782867,-0.9175866842269897,0.7928382158279419,255160.8125,252.3209916207924,63665.8828125,1843200
R027,Rain,AFLB2,fft_magnitude,0.0002650075766723603,0.001878240378573537,4.867712632972143e-08,0.4917524755001068,488.4619445800781,2.575240399888526,6.631863117218018,1843200
R027,Rain,AFLB2,raw_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843200
R027,Rain,AFLB2,raw_high,0.1384336054325104,0.1240043863654137,5.589299245656321e-09,0.9175866842269897,255160.8125,252.3209916207924,63665.8828125,1843200
R027,Rain,AFLB2,mined_low,-0.02188346907496452,0.308012843132019,-5.07707405090332,5.003638744354248,301156.09375,419.2262031111605,175750.609375,1843200
R027,Rain,AFLB2,mined_high,-0.1016311421990395,0.2153412401676178,-3.432849645614624,4.074555397033691,320019.3125,323.2812968221329,104510.796875,1843200
R027,Rain,AFLB3,conv_feat,0.001420179498381913,0.1246059238910675,-0.4781396090984344,0.6039313673973083,352180.0625,239.2589062475,57244.82421875,3686400
R027,Rain,AFLB3,fft_magnitude,7.768587238388136e-05,0.0006311552133411169,2.779833963018064e-08,0.3112845718860626,286.3811950683594,1.220963009445022,1.490750670433044,3686400
R027,Rain,AFLB3,raw_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686400
R027,Rain,AFLB3,raw_high,0.09553495794534683,0.0800107941031456,1.793203807665122e-07,0.6039313077926636,352180.0625,239.2589225739554,57244.83203125,3686400
R027,Rain,AFLB3,mined_low,0.0001237126562045887,0.001441653352230787,-0.007523610722273588,0.01073072478175163,4130.359375,2.778147220415434,7.718101978302002,3686400
R027,Rain,AFLB3,mined_high,-2.325169407413341e-05,0.001051891827955842,-0.008453239686787128,0.007639149203896523,2982.97216796875,2.020125694518852,4.080907821655273,3686400
R028,Rain,AFLB1,conv_feat,0.009060939773917198,0.130451038479805,-0.6467133164405823,0.6651405692100525,89482.65625,125.5347312499613,15758.96875,921600
R028,Rain,AFLB1,fft_magnitude,0.0008230238454416394,0.00253918394446373,1.033643926007244e-07,0.3126980662345886,758.498779296875,2.562467063133885,6.566237449645996,921600
R028,Rain,AFLB1,raw_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921600
R028,Rain,AFLB1,raw_high,0.09709489345550537,0.08759085834026337,8.576724042086425e-08,0.6651406288146973,89482.65625,125.534735139572,15758.9697265625,921600
R028,Rain,AFLB1,mined_low,-0.3342275321483612,1.383885264396667,-13.40819454193115,8.545589447021484,841560.875,1366.726655187496,1867941.75,921600
R028,Rain,AFLB1,mined_high,-0.004782894626259804,0.3146252334117889,-6.965636730194092,6.519696235656738,161853.953125,302.0751148307321,91249.375,921600
R028,Rain,AFLB2,conv_feat,-0.01740925386548042,0.1792895048856735,-1.008025169372559,0.8954594135284424,247489.65625,244.5563345760032,59807.80078125,1843200
